Model Type,accuracy,precision,recall,f1
logistic_regression,0.1995874161939144,0.34074074074074073,0.11704834605597965,0.17424242424242425
mlp,0.24342444559051057,0.7,0.14249363867684478,0.2367864693446089
cnn,0.3022176379577102,0.22429906542056074,0.061068702290076333,0.09599999999999999
