hidden_dim,num_hidden,accuracy,precision,recall,f1
64,1,0.24600309437854564,0.16470588235294117,0.039660056657223795,0.0639269406392694
64,2,0.2109334708612687,0.1111111111111111,0.031161473087818695,0.048672566371681415
64,4,0.18927282104177412,0.08602150537634409,0.0113314447592068,0.02002503128911139
128,1,0.23001547189272822,0.18487394957983194,0.031161473087818695,0.05333333333333333
128,2,0.2924187725631769,0.22702702702702704,0.059490084985835696,0.09427609427609428
128,4,0.2563176895306859,0.23333333333333334,0.029745042492917848,0.05276381909547738
256,1,0.19494584837545126,0.17117117117117117,0.08073654390934844,0.10972088546679498
256,2,0.258896338318721,0.2638190954773869,0.14872521246458922,0.19021739130434778
256,4,0.2490974729241877,0.20754716981132076,0.015580736543909348,0.028985507246376812
