Embedding Type,Embedding Dim,accuracy,precision,recall,f1
glove,50,0.2439401753481176,0.0,0.0,0.0
random,50,0.2001031459515214,0.0,0.0,0.0
glove,100,0.2630221763795771,0.1111111111111111,0.010526315789473684,0.01923076923076923
random,100,0.21970087674058794,0.00909090909090909,0.005263157894736842,0.006666666666666666
glove,200,0.25477050025786485,0.10909090909090909,0.031578947368421054,0.04897959183673469
random,200,0.21660649819494585,0.043478260869565216,0.005263157894736842,0.009389671361502346
